field_1,fid,SciName,Longitude,Latitude,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa,datasetNam,layer,path,NVG,URB,FOR,GRS,CULTIR,CULTRF,CULT,WATER
47,4416,Geranium lucidum,12.347505,58.879316,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428963429,NA,HUMAN_OBSERVATION,1973,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.289499998,75.24902344,14.86359787,0.107391402,6.597878933,6.490487576,3
48,4421,Geranium lucidum,14.300829,57.840223,gass84,SWE,NA,PRESENT,50,F<U+FFFD>reningen Sm<U+FFFD>lands flora,2246060981,NA,HUMAN_OBSERVATION,1973,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.435099959,32.44765854,11.50227642,1.121227026,19.61496544,18.49373817,36
49,4422,Geranium lucidum,-3.101734,51.993438,fpwktinv,GBR,NA,PRESENT,70.7,BIS,2938823880,NA,HUMAN_OBSERVATION,1973,NA,NA,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.261599988,8.793511391,75.97175598,0,14.97313309,14.97313309,0
50,4423,Geranium lucidum,-2.122748,51.091746,fpwktinv,GBR,NA,PRESENT,707.1,BSBI,3098954980,NA,HUMAN_OBSERVATION,1973,NA,NA,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,1.352100015,5.182637215,32.48868179,0.0523584,60.97658157,60.92422485,0
51,4397,Geranium lucidum,-4.384732,51.769405,fpwktinv,GBR,NA,PRESENT,70.7,West Wales Biodiversity Information Centre,2909306582,NA,HUMAN_OBSERVATION,1973,4,16,1973-04-16,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,1.358299971,2.743727684,69.34347534,0.074543439,17.55449486,17.47995186,9
52,4398,Geranium lucidum,-3.88,40.76,"gass84,osiic,colmafu,inmafu",ESP,1,PRESENT,707,VAL,895303599,NA,PRESERVED_SPECIMEN,1973,5,6,1973-05-06,WGS84,Colecci<U+FFFD>n de plantas vasculares del herbario de la Universitat de Val<U+FFFD>ncia (VAL),"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.107499994,45.16401672,44.424366,0,10.30411816,10.30411816,0
53,4399,Geranium lucidum,16.092609,58.310398,"cdround,gass84",SWE,NA,PRESENT,100,<U+FFFD>sterg<U+FFFD>tlands flora,932034153,NA,HUMAN_OBSERVATION,1973,6,21,1973-06-21,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.098599993,76.29049683,13.44528198,0.4587681,4.165620804,3.706852675,6
54,4401,Geranium lucidum,-2.244102,54.13954,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3098853244,NA,HUMAN_OBSERVATION,1973,9,1,1973-09-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.510399997,8.438429833,78.25114441,0,12.80002403,12.80002403,0
55,4402,Geranium lucidum,-2.368626,54.200337,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3099332749,NA,HUMAN_OBSERVATION,1973,9,12,1973-09-12,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.53490001,5.868168354,86.61373138,0,6.98319912,6.98319912,0
56,4404,Geranium lucidum,-2.399092,54.180468,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3103625928,NA,HUMAN_OBSERVATION,1973,9,12,1973-09-12,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.53490001,5.868168354,86.61373138,0,6.98319912,6.98319912,0
