field_1,field_1_1,species,decimallon,decimallat,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa
"544","845",Butomus umbellatus,-75.397903999999997,43.300477000000001,cdround,USA,NA,PRESENT,"7",iNaturalist,"2984353493",https://www.inaturalist.org/observations/62653163,HUMAN_OBSERVATION,"2020","9","5",2020-09-05,WGS84
"545","846",Butomus umbellatus,-80.076215000000005,42.170980000000000,cdround,USA,NA,PRESENT,"300",iNaturalist,"2984401467",https://www.inaturalist.org/observations/59444917,HUMAN_OBSERVATION,"2020","9","9",2020-09-09,WGS84
"549","855",Butomus umbellatus,-83.219223999999997,42.036895999999999,cdround,USA,NA,PRESENT,"66",iNaturalist,"3013946522",https://www.inaturalist.org/observations/60276337,HUMAN_OBSERVATION,"2020","9","20",2020-09-20,WGS84
"550","856",Butomus umbellatus,-73.268738999999997,44.360461000000001,cdround,USA,NA,PRESENT,"355",iNaturalist,"3014021539",https://www.inaturalist.org/observations/60223437,HUMAN_OBSERVATION,"2020","9","20",2020-09-20,WGS84
"552","859",Butomus umbellatus,-76.420472000000004,42.470511000000002,cdround,USA,NA,PRESENT,"7",iNaturalist,"3039131640",https://www.inaturalist.org/observations/58873049,HUMAN_OBSERVATION,"2020","9","7",2020-09-07,WGS84
"553","860",Butomus umbellatus,-76.476179999999999,42.450496999999999,cdround,USA,NA,PRESENT,"16",iNaturalist,"3039164616",https://www.inaturalist.org/observations/58828846,HUMAN_OBSERVATION,"2020","9","6",2020-09-06,WGS84
"556","864",Butomus umbellatus,-73.241102999999995,44.625847000000000,cdround,USA,NA,PRESENT,"8",iNaturalist,"3067766131",https://www.inaturalist.org/observations/59411251,HUMAN_OBSERVATION,"2020","9","12",2020-09-12,WGS84
"557","865",Butomus umbellatus,-76.737639999999999,42.973954999999997,cdround,USA,NA,PRESENT,"69",iNaturalist,"3097047131",https://www.inaturalist.org/observations/74498793,HUMAN_OBSERVATION,"2020","9","15",2020-09-15,WGS84
"564","878",Butomus umbellatus,-82.802345000000003,42.579078000000003,cdround,USA,NA,PRESENT,"7",iNaturalist,"3039377692",https://www.inaturalist.org/observations/62159583,HUMAN_OBSERVATION,"2020","10","1",2020-10-01,WGS84
"579","902",Butomus umbellatus,-73.351228000000006,44.074781000000002,cdround,USA,NA,PRESENT,"4",iNaturalist,"2269304666",https://www.inaturalist.org/observations/27241284,HUMAN_OBSERVATION,"2019","6","18",2019-06-18,WGS84
"614","949",Butomus umbellatus,-76.009347000000005,43.043852999999999,cdround,USA,NA,PRESENT,"5",iNaturalist,"2294428520",https://www.inaturalist.org/observations/27456668,HUMAN_OBSERVATION,"2019","6","22",2019-06-22,WGS84
"620","959",Butomus umbellatus,-73.390725000000003,45.432718999999999,cdround,CAN,NA,PRESENT,"32",iNaturalist,"2397490930",https://www.inaturalist.org/observations/29754106,HUMAN_OBSERVATION,"2019","6","20",2019-06-20,WGS84
